Order ID,Product,Category,Sub-Category,Quantity,Sales,Cost,Profit,Order Date,Customer ID,Region,Inventory
1600208e-5bf3-4b42-9735-e74164a0e86f,Able,Clothing,Men,3,696.99,470.97,226.02,2024-12-11,f399eeca-40c8-4abd-bd83-3396e9b03ffa,West,27
670c2a33-f481-4e80-a32a-37f02e80b60c,Camera,Home & Kitchen,Decor,9,2829.42,2601.54,227.88,2025-02-15,dbea17d4-7d27-455e-a46b-3a4071c7ff2e,East,82
84f336df-c8bc-4592-8ba7-2498454bc14b,Often,Home & Kitchen,Appliances,9,1892.07,1442.97,449.1,2025-06-03,195584a4-b80d-4fce-9b4a-258b9755a2c4,South,26
6f0e7057-e8c4-4397-b3b2-2743e15ce9a7,Reason,Electronics,Laptops,10,1698.5,1181.8,516.7,2024-08-16,ecb6352f-2bea-428a-9d09-b12e4bf9f9fc,North,19
03bda3df-10b5-4a76-8160-880c09da2c8c,Behavior,Clothing,Kids,5,1831.35,1320.65,510.7,2025-04-19,762312a5-86ce-4398-8421-20842cb2d28b,East,82
49cfda4d-4824-4903-b312-4212a753b485,Meeting,Home & Kitchen,Decor,4,1232.76,901.76,331.0,2025-01-08,34afcd2c-d343-4bf5-88ca-525e22918dc0,North,53
c4ea2a7b-4691-43b1-9784-6956fa7b2e83,Choice,Electronics,Phones,3,626.04,464.19,161.85,2024-09-21,940d9fa7-d094-48f9-a931-cf43992c9deb,North,91
e007c11a-d6d9-43d2-8ac7-3906943fc4c8,Production,Home & Kitchen,Furniture,6,2845.8,2704.74,141.06,2024-08-19,0e5a51cd-f096-445b-aeca-821d241d7a81,West,38
abd3605f-4408-43f9-932f-0fd0803eba9a,Again,Home & Kitchen,Appliances,9,1397.34,966.42,430.92,2025-04-30,c50dc624-858c-4561-91a4-7a73057371f1,North,79
c4880692-2ef8-4654-a489-0786bc8edd09,What,Electronics,Laptops,7,1328.46,1247.33,81.13,2024-10-01,e2000c6b-6274-44e9-9973-efb64fcaebc8,West,69
e52405f5-2f01-44bb-b048-d5230cebb791,Scene,Home & Kitchen,Appliances,10,6456.6,4329.2,2127.4,2024-09-26,88e9bf49-011c-46b3-8364-d317ea5306f0,East,88
a76f1fe4-8d44-42fa-89b1-1e629596f410,Better,Clothing,Men,10,2757.9,2190.3,567.6,2025-04-28,4311be03-f509-4d93-9c84-5e8db70df8f8,West,77
e6b995e7-c7fd-4ebc-beb5-50f21bb9ee50,While,Clothing,Women,4,2366.44,1918.88,447.56,2024-07-17,d069713e-dd68-4d0b-b846-09b9712024c9,East,59
4ab22666-ae76-4083-8091-d38b7e599146,Little,Clothing,Women,1,492.44,395.11,97.33,2024-10-23,98ed230b-e0ff-4dec-82f4-f2c5cfc6de8e,West,14
f1ffd539-e6a3-4823-b0b0-7ff2a5bb9de2,Nature,Clothing,Kids,9,4293.27,3027.96,1265.31,2025-03-20,fac42e29-50d2-4e52-ad01-b31be913408d,East,77
7072ae54-bd95-4dd9-9cd5-036cc1864ef6,Man,Books,Non-Fiction,2,1134.36,996.66,137.7,2025-01-19,9bbc81fb-0a8e-44e7-a985-2ae08ab2eb3d,North,71
8de1e93e-5592-4f5e-8912-31e4ee0adca6,Theory,Home & Kitchen,Furniture,9,2928.42,2320.29,608.13,2024-11-15,4a1f7b83-4a4a-49c2-ae7c-0afe4083250e,East,20
9c8b5c1e-62e9-4f9c-83b1-2cdf83f8ace4,Task,Books,Non-Fiction,1,504.41,416.07,88.34,2024-12-31,88903750-3685-4510-a590-acc28e928bd4,West,84
4acbc05f-2219-4e07-b6bf-4f1136938f41,Interesting,Books,Fiction,7,3458.7,3075.52,383.18,2025-02-18,f337e404-f660-408b-9748-a729c0421fc8,East,76
8976dece-60a7-4582-ab25-160f9b456d33,Brother,Home & Kitchen,Appliances,4,1676.04,1452.44,223.6,2024-11-17,1b02402e-b358-4428-898b-a646a04dd35f,West,16
c4b867a4-8132-4f55-8c53-76fb89463afd,No,Books,Fiction,4,1967.12,1385.88,581.24,2025-01-14,2c78e050-8677-4703-8564-02ef14fc1d41,North,23
c1671af8-ad6d-4fef-8f19-255d9be1760a,News,Clothing,Women,6,3270.24,2737.08,533.16,2024-11-05,a28201ff-d687-4649-bfb6-016b7332a8dc,West,50
79bb36f2-1e49-49a5-afb8-afcf033f109b,Boy,Books,Fiction,6,1524.12,1106.94,417.18,2025-01-06,bfa8e991-1994-46e2-92ff-0d96ea234c45,West,90
95c1a111-a066-4c4f-bb26-a14f90bc0d51,Continue,Clothing,Women,1,258.55,218.5,40.05,2025-01-02,f03bb62d-6541-4e2f-a17d-4cabffa2656c,North,82
97fe6303-7382-43fd-9338-6cdc1123b642,We,Clothing,Men,5,710.05,659.3,50.75,2024-10-13,783800af-700f-42d2-99b5-90fc324be6d5,West,18
c93c64e4-1ac8-48d5-bd8e-d27ebe48b4a1,Add,Home & Kitchen,Appliances,8,3430.56,2332.16,1098.4,2025-05-12,c24845bf-8dad-4b6f-a158-a91004a30b02,West,5
c2353b9d-dfc5-4ec1-870c-9e74685781dc,Senior,Electronics,Phones,1,290.8,240.97,49.83,2024-12-13,8ab43ad7-4427-4567-8159-ee43560cf2a6,East,16
09b6e3c5-167e-4c71-9cc1-e9303b0ee7b8,Again,Clothing,Women,7,2135.35,1650.67,484.68,2024-11-20,be2d10c6-62a8-4fc2-be41-84a2d838838c,West,47
289081ba-eb1b-45cd-9437-d761370516e4,Special,Clothing,Women,1,409.99,301.98,108.01,2024-10-28,2f75d46a-737e-4367-befa-b4e36b367b3a,North,37
8e183977-e50d-4192-86ee-abe70f37a44e,Full,Clothing,Men,5,809.75,713.8,95.95,2024-10-17,6876c113-f5ba-4997-8f99-921128b9f025,North,90
d9e455fe-ea29-405f-b0d2-4eff5b3bcebd,Bar,Electronics,Phones,4,1637.32,1196.56,440.76,2024-10-13,20a51b80-516c-4948-955c-04205573151a,East,85
e3049fa5-86d7-412f-a810-8a1c984b1ba8,Herself,Clothing,Women,10,4057.5,3642.0,415.5,2025-01-09,e107fef4-8756-4e62-a24c-82860017adf2,North,77
a1e8268f-14a9-4676-9242-f6787ece21bc,Assume,Electronics,Accessories,4,1812.44,1231.12,581.32,2025-03-27,f05cb5fc-5fc7-4d6f-8af4-a67b39f47cd1,West,37
2cb98461-b912-4fa2-b73f-f0e540718fe7,Company,Clothing,Women,5,2030.6,1569.75,460.85,2024-11-13,697e51b7-1322-4f7e-b6d6-d97af1ac3586,North,76
74711fea-1a27-4c20-8d3c-3c0d3fd79801,Enjoy,Electronics,Phones,5,1836.3,1366.05,470.25,2025-02-22,524f8a7e-4dd4-43fb-a3c8-0a3c7409c510,North,80
a2c05bc0-78dc-4fcd-8b7e-9569764f7bbe,Staff,Books,Non-Fiction,4,1980.64,1621.04,359.6,2024-08-25,f1d55c34-414d-45f0-ba83-755720548af1,North,81
4246af44-8b8b-4ed0-8415-e5ee08a6cfd3,Sound,Books,Fiction,10,1135.8,836.7,299.1,2024-07-18,2e5a7a21-1a95-4895-a41d-a63f7b651b40,East,56
c83c4df8-72cf-42e8-8cb2-bc4ea7a6df72,Face,Home & Kitchen,Furniture,4,619.84,562.56,57.28,2024-11-24,220e6b81-e5cd-4d1b-b818-b31e7c55aa13,North,72
7def8cd1-8338-4cb6-956f-c5ca7139f0fb,Look,Books,Comics,1,215.11,173.43,41.68,2025-03-29,5d023921-6f7e-4e47-815a-f0e36e73f946,West,77
a559c4ca-48ff-4277-aa09-d1c79764b15a,Certainly,Electronics,Laptops,9,733.95,493.38,240.57,2025-01-11,b8a3a20d-73dc-4825-bc35-a7e51783cca7,North,78
713602e0-1556-45dc-a28d-821c77aaeb24,Agent,Electronics,Phones,10,5325.0,4925.7,399.3,2025-01-22,fff71032-aa96-4e29-bddd-bc2f180f6ddd,South,82
5a3a5552-259f-4e91-ab17-f8b6382bc962,Process,Electronics,Laptops,1,363.77,328.67,35.1,2025-06-25,9d88693b-ca14-40b0-8c0e-86ae4c9a7d87,North,86
9bd4a705-3190-4917-b36a-7993c548a279,Fly,Books,Fiction,3,1710.48,1340.31,370.17,2024-08-02,360de5f9-2825-4c31-9c9e-9db7b1888021,South,39
ea0ee5ae-babf-48fa-b576-46bb90f6b607,Behind,Home & Kitchen,Furniture,1,471.92,347.4,124.52,2025-02-13,7d785808-2d18-43f6-8e6d-1a314a68d52e,South,55
2bbe9d1c-32d1-455f-b64e-987b384ca443,Standard,Books,Non-Fiction,3,1145.28,996.36,148.92,2024-10-15,6baee5e7-3003-4443-a68c-219e60464a8f,North,74
960a7dc7-463c-4693-bb0d-fbc60297ac9d,Tonight,Books,Fiction,9,698.04,586.53,111.51,2025-05-18,02f66c61-9304-4179-9a59-aafa1fd0b7cc,North,56
5ed743f3-59b0-4363-9acb-f276de4c172d,Blood,Clothing,Men,3,1620.72,1256.28,364.44,2025-03-02,4d8203d1-f2d7-4d0d-8e14-90fc364bc02c,North,60
af5d1420-665d-4b8b-89f8-025b6ddf04dc,Pay,Home & Kitchen,Furniture,7,4844.91,3346.91,1498.0,2024-10-18,c4ec7121-c7d6-43d8-ab8b-b2e56618f3e6,South,73
7d88244e-f3b8-4b47-bcbb-6f017689b369,Because,Books,Fiction,6,477.0,443.7,33.3,2025-06-14,1c605b32-4d49-40e2-9ea4-ae9a64b4e8d1,North,63
b2c46d70-7bdc-49db-a2f9-ec9f46c1f375,Do,Books,Comics,6,3172.32,2473.68,698.64,2024-10-26,3571f2af-a6b7-4899-8685-cf06813f634a,East,9
42e141d7-d012-4842-8acd-4511318873fd,Six,Home & Kitchen,Furniture,3,1056.36,776.67,279.69,2024-12-31,fb8c0adb-1acd-4493-b13c-b7a6d97c2013,South,37
8499257b-cf73-4f06-a9a6-548b5b6b9f57,Always,Books,Comics,3,1415.76,1076.01,339.75,2024-12-10,5541ee92-07b6-419c-a6f2-2911d2bf2faa,North,65
1b4fa594-a71a-41d8-b02f-92b5afafe083,Phone,Clothing,Women,10,1944.0,1810.4,133.6,2024-09-21,badc7694-7ffd-4f18-aea4-48b52d1d1b32,North,62
4b6e78e5-9aba-4809-bdcd-c2469b7b9a0f,Cut,Electronics,Phones,3,908.85,774.84,134.01,2025-03-19,f4c022f2-af13-41ce-93e5-2edf6143536e,East,67
